ID,Shape,Color,Time,Height,Favorite Activity,Age Group,Zip Code,Time$$areaSize,Favorite Activity$$color
182,star,#55D4D2,1.62,67,Gaming,Adult,45245,163.04,#e7298a
181,triangle-up,#0707D2,1.65,70,Gaming,Adult,47403,164.2,#e7298a
180,star,#0707D2,1.26,57,Sports,Kid,47401,149.03,#66a61e
179,,#0707D2,5.03,36,Sports,Kid,47401,295.72,#66a61e
178,triangle-up,#8E1BCE,1.85,66,Art,Adult,47401,171.98,#7570b3
177,cross,#9B180F,1.91,59,Cooking,Adult,99205,174.32,#7570b3
176,cross,#9B180F,0,59,Cooking,Adult,99205,100,#7570b3
175,diamond,#0707D2,0,36,Other,Kid,47401,100,#66a61e
174,triangle-up,#33820D,2.32,67,Cooking,Adult,47401,190.27,#7570b3
173,star,#D372D2,1.93,42,Sports,Kid,47401,175.1,#66a61e
172,star,#33820D,4.18,70,Gaming,Adult,47401,262.65,#e7298a
171,star,#33820D,4.56,70,Gaming,Adult,47401,277.43,#e7298a
170,star,#D3D406,1.65,48,Sports,Kid,47401,164.2,#66a61e
169,diamond,#55D4D2,1.79,55,,Teen,47401,169.65,#e6ab02
168,cross,#33820D,1.24,54,Sports,Teen,47401,148.25,#66a61e
167,star,#8E1BCE,1.92,72,Cooking,Adult,47401,174.71,#7570b3
166,star,#33820D,1.95,70,Gaming,Adult,47401,175.88,#e7298a
165,triangle-up,#D30706,1.13,68,Art,Adult,47720,143.97,#7570b3
164,star,#0707D2,1.8,45,Sports,Kid,47401,170.04,#66a61e
163,star,#33820D,1.68,70,Gaming,Adult,47401,165.37,#e7298a
162,cross,#D36E44,1.8,74,Cooking,Teen,47265,170.04,#7570b3
161,cross,#D36E44,7.7,74,Cooking,Teen,47401,399.61,#7570b3
160,diamond,#9B180F,1.09,67,Gaming,Teen,47401,142.41,#e7298a
159,star,#D3D406,1.84,57,Gaming,Teen,47265,171.6,#e7298a
158,triangle-up,#55D4D2,1.69,61,Gaming,Teen,47401,165.76,#e7298a
157,star,#D3D406,0.3,57,Gaming,Teen,47265,111.67,#e7298a
156,triangle-up,#55D4D2,1.03,61,Gaming,Pre-Teen,47401,140.08,#e7298a
155,star,#D3D406,1.68,57,Gaming,Teen,47265,165.37,#e7298a
154,cross,#D3D406,1.66,53,Gaming,Pre-Teen,47401,164.59,#e7298a
153,cross,#D3D406,6.7,52,Gaming,Pre-Teen,47401,360.7,#e7298a
152,diamond,#9B180F,1.51,67,Gaming,Teen,47401,158.75,#e7298a
151,cross,#8E1BCE,0.93,55,Other,Kid,47265,136.19,#66a61e
150,star,#D3D406,0.79,57,Gaming,Teen,47265,130.74,#e7298a
149,cross,#8E1BCE,1.57,55,Other,Kid,47265,161.09,#66a61e
148,star,#D3D406,1.78,57,Gaming,Teen,47265,169.26,#e7298a
147,diamond,#D372D2,1.73,65,Art,Adult,47404,167.32,#7570b3
146,star,#D3D406,6.58,57,Gaming,Adult,47265,356.03,#e7298a
145,star,#D3D406,1.73,57,Gaming,,47265,167.32,#e7298a
144,star,#D3D406,1.58,57,Gaming,Teen,47265,161.48,#e7298a
143,star,#D3D406,1.81,57,Gaming,Teen,47265,170.43,#e7298a
142,star,#D3D406,1.6,57,Gaming,Teen,47265,162.26,#e7298a
141,triangle-up,#D30706,9.56,36,Art,Kid,47401,471.98,#7570b3
140,star,#D3D406,2.12,57,Gaming,Teen,47265,182.49,#e7298a
139,diamond,#D372D2,1.14,96,Other,Kid,47265,144.36,#66a61e
138,star,#8E1BCE,2.37,61,Sports,Adult,47265,192.22,#66a61e
137,cross,#33820D,4.18,36,Cooking,Kid,47265,262.65,#7570b3
136,star,#D30706,2.78,54,,Adult,47408,208.17,#e6ab02
135,star,#D30706,8.54,33,Sports,Adult,47408,432.3,#66a61e
134,star,#33820D,3.42,33,Sports,Kid,47408,233.07,#66a61e
133,star,#8E1BCE,0.4,60,Cooking,Pre-Teen,47401,115.56,#7570b3
132,star,#0707D2,1.77,58,Cooking,Pre-Teen,47401,168.87,#7570b3
131,diamond,#8E1BCE,1.49,39,Cooking,Kid,47401,157.98,#7570b3
130,star,#8E1BCE,2.21,39,Cooking,Kid,47401,185.99,#7570b3
129,star,#D372D2,1.69,48,Art,Kid,47401,165.76,#7570b3
128,diamond,#0707D2,2.07,42,Sports,Kid,47401,180.54,#66a61e
127,diamond,#0707D2,2.4,33,,,47401,193.39,#e6ab02
126,star,#33820D,2.39,70,Gaming,Adult,47401,193,#e7298a
125,diamond,#9B180F,2.12,57,Gaming,Teen,47265,182.49,#e7298a
124,star,#D3D406,2.44,57,Gaming,Teen,47265,194.94,#e7298a
123,star,#D3D406,7.21,57,Gaming,Teen,47265,380.54,#e7298a
122,cross,#0707D2,0.8,47,Sports,Kid,47432,131.13,#66a61e
121,diamond,#D372D2,1.57,45,Sports,Kid,47432,161.09,#66a61e
120,square,#D30706,1.16,48,Sports,Kid,47432,145.14,#66a61e
119,triangle-up,#0707D2,1.37,51,Sports,Kid,47432,153.31,#66a61e
118,cross,#8E1BCE,0.29,41,Sports,Kid,47437,111.28,#66a61e
117,star,#55D4D2,2.3,43,,Kid,47432,189.49,#e6ab02
116,diamond,#55D4D2,1.34,60,Art,Pre-Teen,47432,152.14,#7570b3
115,star,#8E1BCE,1.11,91,,Teen,47432,143.19,#e6ab02
114,triangle-up,#D30706,1.61,44,Sports,Kid,47432,162.65,#66a61e
113,diamond,#55D4D2,3.22,44,Art,Pre-Teen,47401,225.29,#7570b3
112,cross,#D30706,1.5,45,Gaming,Pre-Teen,47460,158.37,#e7298a
111,cross,#D30706,6.29,46,Gaming,Pre-Teen,47460,344.75,#e7298a
110,triangle-up,#0707D2,4.68,60,Art,Retired,47265,282.1,#7570b3
109,star,#33820D,2.12,70,Gaming,Adult,47401,182.49,#e7298a
108,triangle-up,#8E1BCE,8.55,55,Other,Kid,47401,432.68,#66a61e
107,star,#0707D2,1.93,53,Sports,Kid,47401,175.1,#66a61e
106,cross,#D30706,2.1,58,Cooking,,47401,181.71,#7570b3
105,star,#55D4D2,1.39,66,Cooking,Pre-Teen,47017,154.09,#7570b3
104,triangle-up,#D372D2,3.45,36,Gaming,Kid,47401,234.24,#e7298a
103,star,#D3D406,4.86,69,,Kid,47401,289.11,#e6ab02
102,star,#D36E44,3.47,40,Sports,Kid,47401,235.02,#66a61e
101,triangle-up,#9B180F,5.91,49,Sports,Kid,47401,329.96,#66a61e
100,diamond,#D30706,3.69,50,Sports,Kid,47401,243.58,#66a61e
99,star,#8E1BCE,0.93,60,Other,,47401,136.19,#66a61e
98,star,#55D4D2,1.63,59,Cooking,Pre-Teen,47401,163.42,#7570b3
97,,#55D4D2,1,55,Cooking,Pre-Teen,47401,138.91,#7570b3
96,square,#0707D2,2.13,52,Sports,Kid,47401,182.88,#66a61e
95,diamond,#D372D2,1.35,41,Art,Kid,47432,152.53,#7570b3
94,star,#8E1BCE,0.59,47,Sports,Kid,47432,122.96,#66a61e
93,triangle-up,#33820D,0.24,54,Other,Kid,47408,109.34,#66a61e
92,star,#0707D2,2.18,50,Sports,Kid,47401,184.82,#66a61e
91,star,#0707D2,1.09,49,Sports,Kid,47401,142.41,#66a61e
90,square,#33820D,1.43,63,Gaming,Pre-Teen,47401,155.64,#e7298a
89,diamond,#D372D2,1.68,56,Art,Kid,47401,165.37,#7570b3
88,diamond,#55D4D2,0.55,53,Art,Kid,47401,121.4,#7570b3
87,star,#0707D2,0,47,Gaming,Kid,47401,100,#e7298a
86,cross,#55D4D2,1.31,61,Gaming,Pre-Teen,47401,150.97,#e7298a
85,triangle-up,#D372D2,2.9,36,Gaming,Kid,47401,212.84,#e7298a
84,triangle-up,#33820D,1.67,52,Art,Pre-Teen,47401,164.98,#7570b3
83,cross,#D30706,0.82,56,Gaming,Pre-Teen,47421,131.91,#e7298a
82,triangle-up,#33820D,1.73,55,Art,Pre-Teen,47421,167.32,#7570b3
81,star,#0707D2,1.83,54,Cooking,Pre-Teen,47459,171.21,#7570b3
80,star,#55D4D2,0.58,51,Cooking,Kid,47401,122.57,#7570b3
79,diamond,#D3D406,4.05,40,Cooking,Kid,47401,257.59,#7570b3
78,diamond,#D39827,4.01,36,Sports,Kid,47401,256.03,#66a61e
