ID,Shape,Color,Time,Height,Favorite Activity,Age Group,Zip Code,Time$$areaSize,Favorite Activity$$color
77,cross,#33820D,4.24,36,Cooking,Kid,47401,264.98,#7570b3
76,cross,#33820D,4.43,36,Cooking,Kid,47401,272.37,#7570b3
75,triangle-up,#8E1BCE,12.85,36,Art,Kid,47401,600,#7570b3
74,,#55D4D2,1.66,49,Sports,Pre-Teen,47401,164.59,#66a61e
73,star,#0707D2,4.63,36,Gaming,Kid,47401,280.16,#e7298a
72,cross,#0707D2,1.24,72,Sports,Adult,47404,148.25,#66a61e
71,star,#33820D,2.11,70,Gaming,Adult,47401,182.1,#e7298a
70,star,#D372D2,2.19,50,Art,Kid,47408,185.21,#7570b3
69,star,#33820D,2.7,70,Gaming,Adult,47401,205.06,#e7298a
68,triangle-up,#0707D2,3.39,72,Cooking,Adult,47404,231.91,#7570b3
67,star,#8E1BCE,8.63,36,Art,Kid,47401,435.8,#7570b3
66,star,#D372D2,0.89,36,Art,Kid,47401,134.63,#7570b3
65,triangle-up,#0707D2,2.16,36,Gaming,Kid,47401,184.05,#e7298a
64,triangle-up,#0707D2,2.19,36,Gaming,Kid,47401,185.21,#e7298a
63,triangle-up,#0707D2,2.5,36,Gaming,Kid,47401,197.28,#e7298a
62,cross,#8E1BCE,1.36,49,Sports,Kid,47401,152.92,#66a61e
61,triangle-up,#D372D2,8.81,50,Sports,Kid,47401,442.8,#66a61e
60,diamond,#0707D2,0.88,63,Sports,Adult,47401,134.24,#66a61e
59,cross,#8E1BCE,1.49,49,Sports,Pre-Teen,47401,157.98,#66a61e
58,diamond,#0707D2,0.58,63,Sports,Adult,47401,122.57,#66a61e
57,star,#33820D,0.96,70,Gaming,Adult,47401,137.35,#e7298a
56,star,#55D4D2,1.85,65,Cooking,Teen,47401,171.98,#7570b3
55,star,#33820D,1.99,70,Gaming,Adult,47401,177.43,#e7298a
54,diamond,#D3D406,1.43,71,Sports,Adult,47401,155.64,#66a61e
53,star,#33820D,1.92,70,Gaming,Adult,47401,174.71,#e7298a
52,star,#33820D,1.94,70,Gaming,Adult,47401,175.49,#e7298a
51,star,#33820D,2.71,70,Gaming,Adult,47401,205.45,#e7298a
50,star,#33820D,2.61,70,Gaming,Adult,47401,201.56,#e7298a
49,star,#33820D,2.88,70,Gaming,Adult,47401,212.06,#e7298a
