id,Opponent,OpponentName,start,end,PersonId,"Time (seconds)",id,Name,icon,color,Gender,"Age Group","Favorite Activity","Height (inches)",zipCode,state,EVENT
43,None,None,"2019-08-22 18:09:25.983 +00:00","2019-08-22 18:09:28.599 +00:00",43,3.0,43,Unkown,cross,#0707D2,Unkown,Teen,Cooking,58,02349,MA,"Makevention 2019"
41,None,None,"2019-08-22 17:33:00.909 +00:00","2019-08-22 17:33:01.917 +00:00",41,1.0,41,Unkown,diamond,#0707D2,Unkown,Adult,Gaming,74,12784,NY,"Makevention 2019"
200,None,None,"2019-10-26 14:16:19.672 +00:00","2019-10-26 14:16:24.847 +00:00",200,5.0,200,Unkown,triangle-up,#D3D406,Unkown,Retired,Cooking,62,23113,VA,"Makevention 2019"
371,None,None,"2019-10-26 17:54:05.879 +00:00","2019-10-26 17:54:08.784 +00:00",371,3.0,371,Unkown,star,#D39827,Unkown,Kid,Other,50,33834,FL,"Makevention 2019"
42,None,None,"2019-08-22 17:34:53.707 +00:00","2019-08-22 17:35:03.371 +00:00",42,10.0,42,Unkown,star,#D3D406,Unkown,Retired,Sports,94,40826,KY,"Makevention 2019"
202,None,None,"2019-10-26 14:19:13.762 +00:00","2019-10-26 14:19:17.500 +00:00",202,4.0,202,Unkown,triangle-up,#D372D2,Unkown,Adult,Other,78,43333,OH,"Makevention 2019"
182,None,None,"2019-08-24 19:52:04.372 +00:00","2019-08-24 19:52:05.994 +00:00",182,2.0,182,Unkown,star,#55D4D2,Unkown,Adult,Gaming,67,45245,OH,"Makevention 2019"
197,None,None,"2019-10-26 14:13:36.913 +00:00","2019-10-26 14:13:40.673 +00:00",197,4.0,197,Unkown,star,#D372D2,Unkown,Kid,Sports,46,46040,IN,"Makevention 2019"
198,None,None,"2019-10-26 14:14:31.921 +00:00","2019-10-26 14:14:37.462 +00:00",198,6.0,198,Unkown,star,#D3D406,Unkown,Adult,Other,63,46040,IN,"Makevention 2019"
233,None,None,"2019-10-26 14:58:20.067 +00:00","2019-10-26 14:58:22.585 +00:00",233,3.0,233,Unkown,star,#0707D2,Unkown,Kid,Art,57,46052,IN,"Makevention 2019"
234,None,None,"2019-10-26 14:59:08.641 +00:00","2019-10-26 14:59:11.212 +00:00",234,3.0,234,Unkown,triangle-up,#8E1BCE,Unkown,Pre-Teen,Sports,57,46052,IN,"Makevention 2019"
315,None,None,"2019-10-26 16:49:03.277 +00:00","2019-10-26 16:49:14.241 +00:00",315,11.0,315,Unkown,star,#D372D2,Unkown,Teen,Sports,65,46077,IN,"Makevention 2019"
316,None,None,"2019-10-26 16:50:11.229 +00:00","2019-10-26 16:50:14.062 +00:00",316,3.0,316,Unkown,square,#55D4D2,Unkown,Teen,Cooking,65,46077,IN,"Makevention 2019"
280,None,None,"2019-10-26 15:53:10.829 +00:00","2019-10-26 15:53:13.759 +00:00",280,3.0,280,Unkown,cross,#D3D406,Unkown,Teen,Gaming,67,46112,IN,"Makevention 2019"
281,None,None,"2019-10-26 15:54:18.289 +00:00","2019-10-26 15:54:27.081 +00:00",281,9.0,281,Unkown,diamond,#55D4D2,Unkown,,Art,50,46112,IN,"Makevention 2019"
282,None,None,"2019-10-26 15:55:10.622 +00:00","2019-10-26 15:55:14.062 +00:00",282,3.0,282,Unkown,diamond,#55D4D2,Unkown,Kid,Art,50,46112,IN,"Makevention 2019"
189,None,None,"2019-10-26 13:41:07.840 +00:00","2019-10-26 13:41:10.852 +00:00",189,3.0,189,Unkown,diamond,#0707D2,Unkown,Teen,Other,70,46131,IN,"Makevention 2019"
262,None,None,"2019-10-26 15:33:10.057 +00:00","2019-10-26 15:33:12.454 +00:00",262,2.0,262,Unkown,square,#D3D406,Unkown,Teen,Sports,63,46143,IN,"Makevention 2019"
263,None,None,"2019-10-26 15:34:03.723 +00:00","2019-10-26 15:34:07.594 +00:00",263,4.0,263,Unkown,diamond,#D372D2,Unkown,Teen,Sports,59,46143,IN,"Makevention 2019"
264,None,None,"2019-10-26 15:35:05.640 +00:00","2019-10-26 15:35:07.399 +00:00",264,2.0,264,Unkown,star,#D372D2,Unkown,Teen,Sports,60,46143,IN,"Makevention 2019"
265,None,None,"2019-10-26 15:35:57.174 +00:00","2019-10-26 15:36:00.005 +00:00",265,3.0,265,Unkown,cross,#33820D,Unkown,Teen,Sports,61,46143,IN,"Makevention 2019"
310,None,None,"2019-10-26 16:37:39.594 +00:00","2019-10-26 16:37:42.529 +00:00",310,3.0,310,Unkown,square,#33820D,Unkown,Pre-Teen,Sports,55,46160,IN,"Makevention 2019"
311,None,None,"2019-10-26 16:38:47.213 +00:00","2019-10-26 16:38:50.585 +00:00",311,3.0,311,Unkown,diamond,#0707D2,Unkown,Kid,Gaming,51,46160,IN,"Makevention 2019"
286,None,None,"2019-10-26 16:00:42.305 +00:00","2019-10-26 16:00:45.115 +00:00",286,3.0,286,Unkown,triangle-up,#8E1BCE,Unkown,Pre-Teen,Gaming,56,46202,IN,"Makevention 2019"
287,None,None,"2019-10-26 16:01:36.088 +00:00","2019-10-26 16:01:38.801 +00:00",287,3.0,287,Unkown,diamond,#8E1BCE,Unkown,Kid,Other,50,46202,IN,"Makevention 2019"
288,None,None,"2019-10-26 16:02:52.920 +00:00","2019-10-26 16:02:57.355 +00:00",288,4.0,288,Unkown,diamond,#33820D,Unkown,Kid,Cooking,40,46202,IN,"Makevention 2019"
215,None,None,"2019-10-26 14:34:22.203 +00:00","2019-10-26 14:34:24.721 +00:00",215,3.0,215,Unkown,diamond,#D30706,Unkown,Pre-Teen,Gaming,60,46225,IN,"Makevention 2019"
297,None,None,"2019-10-26 16:20:32.087 +00:00","2019-10-26 16:20:34.439 +00:00",297,2.0,297,Unkown,triangle-up,#55D4D2,Unkown,Teen,Sports,68,46228,IN,"Makevention 2019"
303,None,None,"2019-10-26 16:27:42.366 +00:00","2019-10-26 16:27:44.260 +00:00",303,2.0,303,Unkown,star,#0707D2,Unkown,Teen,Sports,69,46228,IN,"Makevention 2019"
308,None,None,"2019-10-26 16:31:50.760 +00:00","2019-10-26 16:31:52.576 +00:00",308,2.0,308,Unkown,star,#D30706,Unkown,Teen,Sports,57,46228,IN,"Makevention 2019"
17,None,None,"2019-08-20 15:45:53.410 +00:00","2019-08-20 15:45:56.058 +00:00",17,3.0,17,Unkown,diamond,#0707D2,Unkown,Pre-Teen,Cooking,45,46253,IN,"Makevention 2019"
20,None,None,"2019-08-20 18:23:50.294 +00:00","2019-08-20 18:23:51.115 +00:00",20,1.0,20,Unkown,star,#8E1BCE,Unkown,Adult,Art,58,46254,IN,"Makevention 2019"
30,None,None,"2019-08-21 14:39:16.468 +00:00","2019-08-21 14:39:18.938 +00:00",30,2.0,30,Unkown,cross,#8E1BCE,Unkown,Retired,Art,71,46254,IN,"Makevention 2019"
302,None,None,"2019-10-26 16:27:02.227 +00:00","2019-10-26 16:27:04.680 +00:00",302,2.0,302,Unkown,star,#0707D2,Unkown,Teen,Sports,58,46260,IN,"Makevention 2019"
304,None,None,"2019-10-26 16:28:20.521 +00:00","2019-10-26 16:28:26.792 +00:00",304,6.0,304,Unkown,star,#D30706,Unkown,Teen,Art,49,46260,IN,"Makevention 2019"
305,None,None,"2019-10-26 16:29:04.005 +00:00","2019-10-26 16:29:06.092 +00:00",305,2.0,305,Unkown,star,#D30706,Unkown,Teen,Art,48,46260,IN,"Makevention 2019"
306,None,None,"2019-10-26 16:30:04.160 +00:00",,306,,306,Unkown,star,#D30706,Unkown,Teen,Cooking,51,46260,IN,"Makevention 2019"
307,None,None,"2019-10-26 16:31:10.926 +00:00","2019-10-26 16:31:19.321 +00:00",307,8.0,307,Unkown,star,#D30706,Unkown,Teen,Art,51,46260,IN,"Makevention 2019"
105,None,None,"2019-08-24 16:46:22.603 +00:00","2019-08-24 16:46:23.995 +00:00",105,1.0,105,Unkown,star,#55D4D2,Unkown,Pre-Teen,Cooking,66,47017,IN,"Makevention 2019"
28,None,None,"2019-08-21 14:08:40.545 +00:00","2019-08-21 14:08:43.923 +00:00",28,3.0,28,Unkown,cross,#0707D2,Unkown,Kid,Other,71,47041,IN,"Makevention 2019"
228,None,None,"2019-10-26 14:52:52.493 +00:00","2019-10-26 14:52:55.642 +00:00",228,3.0,228,Unkown,star,#D372D2,Unkown,Teen,Other,65,47126,IN,"Makevention 2019"
226,None,None,"2019-10-26 14:49:06.186 +00:00","2019-10-26 14:49:08.886 +00:00",226,3.0,226,Unkown,cross,#33820D,Unkown,Pre-Teen,,57,47170,IN,"Makevention 2019"
227,None,None,"2019-10-26 14:50:09.531 +00:00","2019-10-26 14:50:12.245 +00:00",227,3.0,227,Unkown,diamond,#D30706,Unkown,,,49,47170,IN,"Makevention 2019"
229,None,None,"2019-10-26 14:54:01.453 +00:00","2019-10-26 14:54:11.513 +00:00",229,10.0,229,Unkown,diamond,#55D4D2,Unkown,Teen,Sports,67,47172,IN,"Makevention 2019"
230,None,None,"2019-10-26 14:55:04.319 +00:00","2019-10-26 14:55:07.277 +00:00",230,3.0,230,Unkown,cross,#55D4D2,Unkown,Teen,Sports,68,47172,IN,"Makevention 2019"
188,None,None,"2019-10-26 13:40:05.651 +00:00","2019-10-26 13:40:08.738 +00:00",188,3.0,188,Unkown,triangle-up,#D372D2,Unkown,Teen,Sports,62,47201,IN,"Makevention 2019"
361,None,None,"2019-10-26 17:35:02.111 +00:00","2019-10-26 17:35:04.639 +00:00",361,3.0,361,Unkown,star,#D372D2,Unkown,Teen,Art,63,47201,IN,"Makevention 2019"
362,None,None,"2019-10-26 17:36:04.592 +00:00","2019-10-26 17:36:07.953 +00:00",362,3.0,362,Unkown,triangle-up,#0707D2,Unkown,Teen,Art,67,47201,IN,"Makevention 2019"
190,None,None,"2019-10-26 13:41:49.692 +00:00","2019-10-26 13:41:51.729 +00:00",190,2.0,190,Unkown,triangle-up,#33820D,Unkown,Teen,Other,74,47203,IN,"Makevention 2019"
239,None,None,"2019-10-26 15:07:19.490 +00:00","2019-10-26 15:07:21.747 +00:00",239,2.0,239,Unkown,diamond,#D3D406,Unkown,Kid,Sports,58,47232,IN,"Makevention 2019"
240,None,None,"2019-10-26 15:08:55.384 +00:00","2019-10-26 15:08:59.743 +00:00",240,4.0,240,Unkown,cross,#33820D,Unkown,Kid,Art,45,47232,IN,"Makevention 2019"
243,None,None,"2019-10-26 15:13:33.644 +00:00","2019-10-26 15:13:37.979 +00:00",243,4.0,243,Unkown,cross,#D30706,Unkown,Kid,Art,45,47232,IN,"Makevention 2019"
34,None,None,"2019-08-21 16:01:18.153 +00:00","2019-08-21 16:01:21.276 +00:00",34,3.0,34,Unkown,star,#33820D,Unkown,Adult,Gaming,62,47265,IN,"Makevention 2019"
110,None,None,"2019-08-24 17:16:10.090 +00:00","2019-08-24 17:16:14.769 +00:00",110,5.0,110,Unkown,triangle-up,#0707D2,Unkown,Retired,Art,60,47265,IN,"Makevention 2019"
123,None,None,"2019-08-24 17:38:15.739 +00:00","2019-08-24 17:38:22.948 +00:00",123,7.0,123,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
124,None,None,"2019-08-24 17:39:11.197 +00:00","2019-08-24 17:39:13.633 +00:00",124,2.0,124,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
125,None,None,"2019-08-24 17:40:09.354 +00:00","2019-08-24 17:40:11.471 +00:00",125,2.0,125,Unkown,diamond,#9B180F,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
137,None,None,"2019-08-24 18:07:44.167 +00:00","2019-08-24 18:07:48.348 +00:00",137,4.0,137,Unkown,cross,#33820D,Unkown,Kid,Cooking,36,47265,IN,"Makevention 2019"
