id,Opponent,OpponentName,start,end,PersonId,"Time (seconds)",id,Name,icon,color,Gender,"Age Group","Favorite Activity","Height (inches)",zipCode,state,EVENT
43,None,None,"2019-08-22 18:09:25.983 +00:00","2019-08-22 18:09:28.599 +00:00",43,3.0,43,Unkown,cross,#0707D2,Unkown,Teen,Cooking,58,02349,MA,"Makevention 2019"
41,None,None,"2019-08-22 17:33:00.909 +00:00","2019-08-22 17:33:01.917 +00:00",41,1.0,41,Unkown,diamond,#0707D2,Unkown,Adult,Gaming,74,12784,NY,"Makevention 2019"
42,None,None,"2019-08-22 17:34:53.707 +00:00","2019-08-22 17:35:03.371 +00:00",42,10.0,42,Unkown,star,#D3D406,Unkown,Retired,Sports,94,40826,KY,"Makevention 2019"
182,None,None,"2019-08-24 19:52:04.372 +00:00","2019-08-24 19:52:05.994 +00:00",182,2.0,182,Unkown,star,#55D4D2,Unkown,Adult,Gaming,67,45245,OH,"Makevention 2019"
17,None,None,"2019-08-20 15:45:53.410 +00:00","2019-08-20 15:45:56.058 +00:00",17,3.0,17,Unkown,diamond,#0707D2,Unkown,Pre-Teen,Cooking,45,46253,IN,"Makevention 2019"
20,None,None,"2019-08-20 18:23:50.294 +00:00","2019-08-20 18:23:51.115 +00:00",20,1.0,20,Unkown,star,#8E1BCE,Unkown,Adult,Art,58,46254,IN,"Makevention 2019"
30,None,None,"2019-08-21 14:39:16.468 +00:00","2019-08-21 14:39:18.938 +00:00",30,2.0,30,Unkown,cross,#8E1BCE,Unkown,Retired,Art,71,46254,IN,"Makevention 2019"
105,None,None,"2019-08-24 16:46:22.603 +00:00","2019-08-24 16:46:23.995 +00:00",105,1.0,105,Unkown,star,#55D4D2,Unkown,Pre-Teen,Cooking,66,47017,IN,"Makevention 2019"
28,None,None,"2019-08-21 14:08:40.545 +00:00","2019-08-21 14:08:43.923 +00:00",28,3.0,28,Unkown,cross,#0707D2,Unkown,Kid,Other,71,47041,IN,"Makevention 2019"
34,None,None,"2019-08-21 16:01:18.153 +00:00","2019-08-21 16:01:21.276 +00:00",34,3.0,34,Unkown,star,#33820D,Unkown,Adult,Gaming,62,47265,IN,"Makevention 2019"
110,None,None,"2019-08-24 17:16:10.090 +00:00","2019-08-24 17:16:14.769 +00:00",110,5.0,110,Unkown,triangle-up,#0707D2,Unkown,Retired,Art,60,47265,IN,"Makevention 2019"
123,None,None,"2019-08-24 17:38:15.739 +00:00","2019-08-24 17:38:22.948 +00:00",123,7.0,123,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
124,None,None,"2019-08-24 17:39:11.197 +00:00","2019-08-24 17:39:13.633 +00:00",124,2.0,124,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
125,None,None,"2019-08-24 17:40:09.354 +00:00","2019-08-24 17:40:11.471 +00:00",125,2.0,125,Unkown,diamond,#9B180F,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
137,None,None,"2019-08-24 18:07:44.167 +00:00","2019-08-24 18:07:48.348 +00:00",137,4.0,137,Unkown,cross,#33820D,Unkown,Kid,Cooking,36,47265,IN,"Makevention 2019"
138,None,None,"2019-08-24 18:09:15.481 +00:00","2019-08-24 18:09:17.854 +00:00",138,2.0,138,Unkown,star,#8E1BCE,Unkown,Adult,Sports,61,47265,IN,"Makevention 2019"
139,None,None,"2019-08-24 18:16:27.307 +00:00","2019-08-24 18:16:28.444 +00:00",139,1.0,139,Unkown,diamond,#D372D2,Unkown,Kid,Other,96,47265,IN,"Makevention 2019"
140,None,None,"2019-08-24 18:17:24.541 +00:00","2019-08-24 18:17:26.660 +00:00",140,2.0,140,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
142,None,None,"2019-08-24 18:21:00.113 +00:00","2019-08-24 18:21:01.717 +00:00",142,2.0,142,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
143,None,None,"2019-08-24 18:21:39.955 +00:00","2019-08-24 18:21:41.767 +00:00",143,2.0,143,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
144,None,None,"2019-08-24 18:22:15.694 +00:00","2019-08-24 18:22:17.272 +00:00",144,2.0,144,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
145,None,None,"2019-08-24 18:22:53.644 +00:00","2019-08-24 18:22:55.373 +00:00",145,2.0,145,Unkown,star,#D3D406,Unkown,,Gaming,57,47265,IN,"Makevention 2019"
146,None,None,"2019-08-24 18:24:04.601 +00:00","2019-08-24 18:24:11.184 +00:00",146,7.0,146,Unkown,star,#D3D406,Unkown,Adult,Gaming,57,47265,IN,"Makevention 2019"
148,None,None,"2019-08-24 18:26:34.935 +00:00","2019-08-24 18:26:36.714 +00:00",148,2.0,148,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
149,None,None,"2019-08-24 18:27:32.078 +00:00","2019-08-24 18:27:33.653 +00:00",149,2.0,149,Unkown,cross,#8E1BCE,Unkown,Kid,Other,55,47265,IN,"Makevention 2019"
150,None,None,"2019-08-24 18:28:08.809 +00:00","2019-08-24 18:28:09.595 +00:00",150,1.0,150,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
151,None,None,"2019-08-24 18:28:51.022 +00:00","2019-08-24 18:28:51.954 +00:00",151,1.0,151,Unkown,cross,#8E1BCE,Unkown,Kid,Other,55,47265,IN,"Makevention 2019"
155,None,None,"2019-08-24 18:33:57.627 +00:00","2019-08-24 18:33:59.307 +00:00",155,2.0,155,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
157,None,None,"2019-08-24 18:35:28.465 +00:00","2019-08-24 18:35:28.763 +00:00",157,0.0,157,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
159,None,None,"2019-08-24 18:37:20.507 +00:00","2019-08-24 18:37:22.349 +00:00",159,2.0,159,Unkown,star,#D3D406,Unkown,Teen,Gaming,57,47265,IN,"Makevention 2019"
162,None,None,"2019-08-24 18:40:00.235 +00:00","2019-08-24 18:40:02.040 +00:00",162,2.0,162,Unkown,cross,#D36E44,Unkown,Teen,Cooking,74,47265,IN,"Makevention 2019"
7,None,None,"2019-08-19 17:21:38.710 +00:00",,7,,7,Unkown,diamond,#8E1BCE,Unkown,Pre-Teen,Cooking,65,47401,IN,"Makevention 2019"
8,None,None,"2019-08-19 17:22:58.194 +00:00",,8,,8,Unkown,diamond,#8E1BCE,Unkown,Pre-Teen,Cooking,43,47401,IN,"Makevention 2019"
9,None,None,"2019-08-19 17:30:15.523 +00:00","2019-08-19 17:30:20.985 +00:00",9,5.0,9,Unkown,diamond,#D372D2,Unkown,Pre-Teen,Cooking,61,47401,IN,"Makevention 2019"
10,None,None,"2019-08-19 17:44:42.464 +00:00","2019-08-19 17:44:44.757 +00:00",10,2.0,10,Unkown,triangle-up,#D372D2,Unkown,Pre-Teen,Cooking,46,47401,IN,"Makevention 2019"
11,None,None,"2019-08-19 18:15:14.991 +00:00","2019-08-19 18:15:17.737 +00:00",11,3.0,11,Unkown,triangle-up,#D3D406,Unkown,Teen,,55,47401,IN,"Makevention 2019"
12,None,None,"2019-08-19 18:22:22.684 +00:00","2019-08-19 18:22:27.131 +00:00",12,4.0,12,Unkown,diamond,#8E1BCE,Unkown,Pre-Teen,Cooking,46,47401,IN,"Makevention 2019"
13,None,None,"2019-08-19 18:26:43.440 +00:00","2019-08-19 18:26:45.210 +00:00",13,2.0,13,Unkown,diamond,#8E1BCE,Unkown,Teen,Cooking,41,47401,IN,"Makevention 2019"
14,None,None,"2019-08-19 19:43:21.953 +00:00","2019-08-19 19:43:24.604 +00:00",14,3.0,14,Unkown,diamond,#0707D2,Unkown,Pre-Teen,Cooking,45,47401,IN,"Makevention 2019"
15,None,None,"2019-08-19 19:46:20.184 +00:00","2019-08-19 19:46:22.611 +00:00",15,2.0,15,Unkown,diamond,#8E1BCE,Unkown,Pre-Teen,,49,47401,IN,"Makevention 2019"
16,None,None,"2019-08-20 15:43:33.949 +00:00","2019-08-20 15:43:36.972 +00:00",16,3.0,16,Unkown,diamond,#0707D2,Unkown,Teen,Cooking,52,47401,IN,"Makevention 2019"
18,None,None,"2019-08-20 18:20:54.892 +00:00","2019-08-20 18:20:56.680 +00:00",18,2.0,18,Unkown,diamond,#D372D2,Unkown,Adult,Sports,51,47401,IN,"Makevention 2019"
19,None,None,"2019-08-20 18:21:38.310 +00:00","2019-08-20 18:21:40.180 +00:00",19,2.0,19,Unkown,square,#8E1BCE,Unkown,Adult,Art,47,47401,IN,"Makevention 2019"
21,None,None,"2019-08-20 20:31:20.525 +00:00","2019-08-20 20:31:23.371 +00:00",21,3.0,21,Unkown,cross,#0707D2,Unkown,Kid,Art,77,47401,IN,"Makevention 2019"
22,None,None,"2019-08-20 20:32:42.554 +00:00","2019-08-20 20:32:45.840 +00:00",22,3.0,22,Unkown,cross,#0707D2,Unkown,Pre-Teen,Gaming,56,47401,IN,"Makevention 2019"
23,None,None,"2019-08-20 20:34:09.091 +00:00","2019-08-20 20:34:11.402 +00:00",23,2.0,23,Unkown,diamond,#D372D2,Unkown,Pre-Teen,Sports,51,47401,IN,"Makevention 2019"
24,None,None,"2019-08-20 20:36:32.006 +00:00","2019-08-20 20:36:34.129 +00:00",24,2.0,24,Unkown,triangle-up,#0707D2,Unkown,Pre-Teen,Cooking,50,47401,IN,"Makevention 2019"
25,None,None,"2019-08-20 20:55:47.037 +00:00","2019-08-20 20:55:49.935 +00:00",25,3.0,25,Unkown,diamond,#0707D2,Unkown,Pre-Teen,Cooking,47,47401,IN,"Makevention 2019"
26,None,None,"2019-08-21 12:07:07.110 +00:00","2019-08-21 12:07:09.991 +00:00",26,3.0,26,Unkown,triangle-up,#8E1BCE,Unkown,Adult,Gaming,66,47401,IN,"Makevention 2019"
27,None,None,"2019-08-21 13:50:08.539 +00:00","2019-08-21 13:50:11.166 +00:00",27,3.0,27,Unkown,square,#D372D2,Unkown,Teen,Cooking,49,47401,IN,"Makevention 2019"
29,None,None,"2019-08-21 14:12:13.930 +00:00","2019-08-21 14:12:17.015 +00:00",29,3.0,29,Unkown,star,#33820D,Unkown,Adult,Gaming,70,47401,IN,"Makevention 2019"
31,None,None,"2019-08-21 14:43:56.030 +00:00","2019-08-21 14:43:59.142 +00:00",31,3.0,31,Unkown,star,#33820D,Unkown,Adult,Gaming,69,47401,IN,"Makevention 2019"
35,None,None,"2019-08-21 17:39:26.989 +00:00","2019-08-21 17:39:30.257 +00:00",35,3.0,35,Unkown,star,#33820D,Unkown,Adult,Gaming,70,47401,IN,"Makevention 2019"
36,None,None,"2019-08-21 19:13:58.171 +00:00","2019-08-21 19:13:59.904 +00:00",36,2.0,36,Unkown,star,#D372D2,Unkown,Kid,Cooking,50,47401,IN,"Makevention 2019"
37,None,None,"2019-08-21 19:14:54.700 +00:00","2019-08-21 19:14:56.230 +00:00",37,2.0,37,Unkown,star,#D372D2,Unkown,Adult,Gaming,58,47401,IN,"Makevention 2019"
38,None,None,"2019-08-22 11:53:48.822 +00:00","2019-08-22 11:53:51.791 +00:00",38,3.0,38,Unkown,star,#33820D,Unkown,Adult,Gaming,71,47401,IN,"Makevention 2019"
39,None,None,"2019-08-22 15:38:38.757 +00:00","2019-08-22 15:38:41.732 +00:00",39,3.0,39,Unkown,star,#33820D,Unkown,Adult,Gaming,70,47401,IN,"Makevention 2019"
45,None,None,"2019-08-22 18:17:35.912 +00:00","2019-08-22 18:17:36.805 +00:00",45,1.0,45,Unkown,cross,#0707D2,Unkown,Adult,Sports,72,47401,IN,"Makevention 2019"
