id,OpponentName,start,end,PersonId,"Time (seconds)",id,Gender,"Age Group","Favorite Activity",Height,zipcode,state,Event
92,"Fast animal","2018-08-25 19:18:58.072 +00:00","2018-08-25 19:19:02.680 +00:00",92,5.0,92,female,Teen,Gaming,45,47401,IN,"Makevention 2018"
93,"Slow person","2018-08-25 19:22:40.274 +00:00","2018-08-25 19:22:45.000 +00:00",93,5.0,93,other,Retired,Sports,45,47401,IN,"Makevention 2018"
34,"Fast animal","2018-08-25 15:58:51.120 +00:00","2018-08-25 15:58:55.820 +00:00",34,5.0,34,other,Adult,Other,48,47403,IN,"Makevention 2018"
35,"Cartoon character","2018-08-25 15:59:51.696 +00:00","2018-08-25 15:59:55.822 +00:00",35,4.0,35,male,Teen,Sports,47,47403,IN,"Makevention 2018"
36,"Cartoon character","2018-08-25 16:03:04.492 +00:00","2018-08-25 16:03:10.202 +00:00",36,6.0,36,male,Teen,Gaming,68,47403,IN,"Makevention 2018"
46,"Slow person","2018-08-25 16:15:03.726 +00:00","2018-08-25 16:15:09.188 +00:00",46,5.0,46,female,Adult,Art,68,47403,IN,"Makevention 2018"
82,"Fast person","2018-08-25 18:00:13.998 +00:00","2018-08-25 18:00:22.146 +00:00",82,8.0,82,other,Kid,Sports,7894,47403,IN,"Makevention 2018"
85,"Fast animal","2018-08-25 18:33:25.388 +00:00","2018-08-25 18:33:29.618 +00:00",85,4.0,85,female,Teen,Gaming,68,47403,IN,"Makevention 2018"
10,"Fast animal","2018-08-25 14:47:04.596 +00:00","2018-08-25 14:47:12.520 +00:00",10,8.0,10,other,Adult,Sports,73,47404,IN,"Makevention 2018"
19,"Fast animal","2018-08-25 15:03:47.074 +00:00","2018-08-25 15:03:53.404 +00:00",19,6.0,19,female,Adult,Other,73,47404,IN,"Makevention 2018"
28,"Slow person","2018-08-25 15:38:19.632 +00:00","2018-08-25 15:38:34.516 +00:00",28,15.0,28,other,Kid,Gaming,48,47404,IN,"Makevention 2018"
29,"Fast animal","2018-08-25 15:39:07.102 +00:00","2018-08-25 15:39:13.436 +00:00",29,6.0,29,other,Adult,Gaming,49,47404,IN,"Makevention 2018"
47,"Cartoon character","2018-08-25 16:18:27.432 +00:00","2018-08-25 16:18:29.750 +00:00",47,2.0,47,female,Adult,Art,73,47404,IN,"Makevention 2018"
1,"Fast animal","2018-08-25 14:36:21.094 +00:00","2018-08-25 14:36:24.182 +00:00",1,3.0,1,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
2,"Fast person","2018-08-25 14:37:45.454 +00:00","2018-08-25 14:37:48.436 +00:00",2,3.0,2,other,Teen,Art,78,47408,IN,"Makevention 2018"
3,"Fast animal","2018-08-25 14:38:51.384 +00:00","2018-08-25 14:38:59.454 +00:00",3,8.0,3,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
4,"Cartoon character","2018-08-25 14:39:39.368 +00:00","2018-08-25 14:39:42.618 +00:00",4,3.0,4,other,Pre-Teen,Cooking,57,47408,IN,"Makevention 2018"
5,"Cartoon character","2018-08-25 14:40:53.440 +00:00","2018-08-25 14:40:56.766 +00:00",5,3.0,5,male,Pre-Teen,Art,78,47408,IN,"Makevention 2018"
6,"Fast animal","2018-08-25 14:42:19.272 +00:00","2018-08-25 14:42:22.366 +00:00",6,3.0,6,other,Retired,Sports,7,47408,IN,"Makevention 2018"
8,"Cartoon character","2018-08-25 14:45:02.090 +00:00","2018-08-25 14:45:05.176 +00:00",8,3.0,8,other,Adult,Gaming,73,47408,IN,"Makevention 2018"
9,"Fast person","2018-08-25 14:46:21.412 +00:00","2018-08-25 14:46:24.354 +00:00",9,3.0,9,female,Pre-Teen,Sports,48,47408,IN,"Makevention 2018"
11,"Fast animal","2018-08-25 14:49:23.288 +00:00","2018-08-25 14:49:26.784 +00:00",11,3.0,11,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
12,"Fast person","2018-08-25 14:51:32.568 +00:00","2018-08-25 14:51:35.790 +00:00",12,3.0,12,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
13,"Fast animal","2018-08-25 14:54:24.952 +00:00","2018-08-25 14:54:32.178 +00:00",13,7.0,13,other,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
16,"Fast animal","2018-08-25 14:57:49.906 +00:00","2018-08-25 14:58:03.450 +00:00",16,14.0,16,male,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
17,"Fast animal","2018-08-25 14:59:08.986 +00:00","2018-08-25 14:59:13.028 +00:00",17,4.0,17,other,Pre-Teen,Art,50,47408,IN,"Makevention 2018"
21,"Fast person","2018-08-25 15:17:49.542 +00:00","2018-08-25 15:17:52.660 +00:00",21,3.0,21,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
23,"Fast animal","2018-08-25 15:18:48.206 +00:00","2018-08-25 15:18:51.388 +00:00",23,3.0,23,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
24,"Fast animal","2018-08-25 15:24:20.996 +00:00","2018-08-25 15:24:23.062 +00:00",24,2.0,24,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
25,"Fast animal","2018-08-25 15:29:49.840 +00:00","2018-08-25 15:29:59.248 +00:00",25,9.0,25,female,Adult,Other,68,47408,IN,"Makevention 2018"
26,"Cartoon character","2018-08-25 15:30:56.162 +00:00","2018-08-25 15:31:00.832 +00:00",26,5.0,26,other,Adult,Other,68,47408,IN,"Makevention 2018"
31,"Fast animal","2018-08-25 15:53:01.886 +00:00","2018-08-25 15:53:04.938 +00:00",31,3.0,31,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
38,"Cartoon character","2018-08-25 16:04:46.424 +00:00","2018-08-25 16:04:47.800 +00:00",38,1.0,38,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
39,"Fast animal","2018-08-25 16:05:34.276 +00:00","2018-08-25 16:05:37.652 +00:00",39,3.0,39,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
40,"Fast animal","2018-08-25 16:07:31.494 +00:00","2018-08-25 16:07:34.464 +00:00",40,3.0,40,other,Teen,Other,67,47408,IN,"Makevention 2018"
41,"Fast person","2018-08-25 16:08:27.826 +00:00","2018-08-25 16:08:30.828 +00:00",41,3.0,41,male,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
42,"Fast person","2018-08-25 16:09:01.868 +00:00","2018-08-25 16:09:07.348 +00:00",42,5.0,42,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
43,"Fast animal","2018-08-25 16:09:44.920 +00:00","2018-08-25 16:09:47.974 +00:00",43,3.0,43,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
