id,opponent,opponentName,start,end,icon,color,age_group,favoriteActivity,height,zipcode,state,latitude,longitude,runTime
70,fast-animal,Fast animal,2018-08-25T17:21:08.220Z,2018-08-25T17:21:15.138Z,square,#9B180F,Retired,Other,56,47265,IN,39.0018,-85.6272,6.918
69,fast-person,Fast person,2018-08-25T17:19:43.608Z,2018-08-25T17:19:47.366Z,star,#0707D2,Adult,Gaming,97,47586,IN,37.9655,-86.7457,3.758
68,fast-animal,Fast animal,2018-08-25T17:18:32.936Z,2018-08-25T17:18:36.808Z,triangle-up,#D3D406,Retired,Gaming,1,47581,IN,38.6791,-86.7761,3.872
67,fast-animal,Fast animal,2018-08-25T17:16:50.812Z,2018-08-25T17:16:54.856Z,triangle-up,#0707D2,Pre-Teen,Gaming,56,47408,IN,39.2303,-86.4692,4.044
66,cartoon-character,Cartoon character,2018-08-25T17:16:13.990Z,2018-08-25T17:16:15.952Z,star,#D372D2,Teen,Sports,7,48768,MI,43.3691,-83.5844,1.962
65,fast-animal,Fast animal,2018-08-25T17:14:33.604Z,2018-08-25T17:14:35.990Z,square,#8E1BCE,Retired,Other,67,47408,IN,39.2303,-86.4692,2.386

63,fast-animal,Fast animal,2018-08-25T17:13:06.512Z,2018-08-25T17:13:08.118Z,diamond,#D3D406,Retired,Gaming,30,47265,IN,39.0018,-85.6272,1.606
62,fast-animal,Fast animal,2018-08-25T17:12:18.504Z,2018-08-25T17:12:22.598Z,star,#D372D2,Retired,Cooking,62,47265,IN,39.0018,-85.6272,4.094
61,fast-animal,Fast animal,2018-08-25T17:11:24.640Z,2018-08-25T17:11:28.256Z,triangle-up,#8E1BCE,Pre-Teen,Gaming,58,47265,IN,39.0018,-85.6272,3.616
60,cartoon-character,Cartoon character,2018-08-25T17:10:23.800Z,2018-08-25T17:10:27.776Z,square,#55D4D2,Pre-Teen,Gaming,56,47265,IN,39.0018,-85.6272,3.976
59,fast-animal,Fast animal,2018-08-25T17:09:57.142Z,2018-08-25T17:10:02.668Z,triangle-up,#33820D,Teen,Other,58,47265,IN,39.0018,-85.6272,5.526
58,fast-person,Fast person,2018-08-25T17:07:49.084Z,2018-08-25T17:07:53.014Z,triangle-up,#8E1BCE,Teen,Art,56,47265,IN,39.0018,-85.6272,3.93
57,fast-animal,Fast animal,2018-08-25T17:06:55.816Z,2018-08-25T17:07:05.060Z,triangle-up,#D372D2,Pre-Teen,Gaming,58,47265,IN,39.0018,-85.6272,9.244
56,cartoon-character,Cartoon character,2018-08-25T17:05:20.488Z,2018-08-25T17:05:23.374Z,square,#D36E44,Kid,Cooking,56,47265,IN,39.0018,-85.6272,2.886

54,fast-animal,Fast animal,2018-08-25T17:02:41.150Z,2018-08-25T17:02:44.196Z,cross,#D36E44,Teen,Art,64,47408,IN,39.2303,-86.4692,3.046
53,fast-animal,Fast animal,2018-08-25T17:01:52.404Z,2018-08-25T17:02:01.788Z,star,#D30706,Pre-Teen,Cooking,56,47408,IN,39.2303,-86.4692,9.384
52,slow-person,Slow person,2018-08-25T17:01:18.044Z,2018-08-25T17:01:21.026Z,square,#D372D2,Pre-Teen,Gaming,58,47408,IN,39.2303,-86.4692,2.982
51,slow-person,Slow person,2018-08-25T17:00:38.318Z,2018-08-25T17:00:44.470Z,triangle-up,#55D4D2,Retired,Other,30,47408,IN,39.2303,-86.4692,6.152
50,fast-animal,Fast animal,2018-08-25T16:23:22.300Z,2018-08-25T16:23:26.258Z,cross,#D3D406,Adult,Other,81,47401,IN,39.1401,-86.5083,3.958
49,slow-person,Slow person,2018-08-25T16:21:58.476Z,2018-08-25T16:22:02.550Z,diamond,#0707D2,Pre-Teen,Other,37,47408,IN,39.2303,-86.4692,4.074
48,slow-person,Slow person,2018-08-25T16:21:32.040Z,2018-08-25T16:21:35.690Z,star,#0707D2,Retired,Other,37,47408,IN,39.2303,-86.4692,3.65
47,cartoon-character,Cartoon character,2018-08-25T16:18:27.432Z,2018-08-25T16:18:29.750Z,triangle-up,#8E1BCE,Adult,Art,73,47404,IN,39.195,-86.5757,2.318
46,slow-person,Slow person,2018-08-25T16:15:03.726Z,2018-08-25T16:15:09.188Z,star,#D3D406,Adult,Art,68,47403,IN,39.1263,-86.5769,5.462
45,fast-animal,Fast animal,2018-08-25T16:13:36.286Z,2018-08-25T16:13:39.694Z,star,#33820D,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.408
44,fast-animal,Fast animal,2018-08-25T16:10:40.994Z,2018-08-25T16:10:45.470Z,square,#8E1BCE,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,4.476
43,fast-animal,Fast animal,2018-08-25T16:09:44.920Z,2018-08-25T16:09:47.974Z,triangle-up,#D372D2,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.054
42,fast-person,Fast person,2018-08-25T16:09:01.868Z,2018-08-25T16:09:07.348Z,cross,#D3D406,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,5.48
41,fast-person,Fast person,2018-08-25T16:08:27.826Z,2018-08-25T16:08:30.828Z,star,#55D4D2,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.002
40,fast-animal,Fast animal,2018-08-25T16:07:31.494Z,2018-08-25T16:07:34.464Z,triangle-up,#D39827,Teen,Other,67,47408,IN,39.2303,-86.4692,2.97
