id,start,end,icon,color,ageGroup,favoriteActivity,height,zipCode,state,latitude,longitude
183,2019-10-26T12:52:21.206Z,2019-10-26T12:52:24.704Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
184,2019-10-26T13:06:22.776Z,2019-10-26T13:06:26.734Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
185,2019-10-26T13:09:02.299Z,2019-10-26T13:09:05.978Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
186,2019-10-26T13:17:00.844Z,2019-10-26T13:17:03.793Z,cross,#33820D,Adult,Art,68,47408,IN,39.2303,-86.4692
187,2019-10-26T13:38:16.075Z,2019-10-26T13:38:19.402Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
188,2019-10-26T13:40:05.651Z,2019-10-26T13:40:08.738Z,triangle-up,#D372D2,Teen,Sports,62,47201,IN,39.2055,-85.9317
189,2019-10-26T13:41:07.840Z,2019-10-26T13:41:10.852Z,diamond,#0707D2,Teen,Other,70,46131,IN,39.4854,-86.0608
190,2019-10-26T13:41:49.692Z,2019-10-26T13:41:51.729Z,triangle-up,#33820D,Teen,Other,74,47203,IN,39.2301,-85.8855
191,2019-10-26T13:48:31.928Z,2019-10-26T13:48:35.577Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
192,2019-10-26T13:49:22.563Z,2019-10-26T13:49:25.662Z,cross,#33820D,Adult,Art,68,47408,IN,39.2303,-86.4692
193,2019-10-26T13:51:32.405Z,2019-10-26T13:51:40.361Z,cross,#0707D2,Adult,Other,71,47403,IN,39.1263,-86.5769
194,2019-10-26T13:53:31.629Z,2019-10-26T13:53:33.959Z,cross,#33820D,Adult,Other,71,47403,IN,39.1263,-86.5769
195,2019-10-26T14:10:28.975Z,2019-10-26T14:10:32.481Z,star,#33820D,Adult,Gaming,70,47401,IN,39.1401,-86.5083
196,2019-10-26T14:12:13.810Z,2019-10-26T14:12:17.557Z,square,#0707D2,Adult,Gaming,69,47403,IN,39.1263,-86.5769
197,2019-10-26T14:13:36.913Z,2019-10-26T14:13:40.673Z,star,#D372D2,Kid,Sports,46,46040,IN,39.9323,-85.848
198,2019-10-26T14:14:31.921Z,2019-10-26T14:14:37.462Z,star,#D3D406,Adult,Other,63,46040,IN,39.9323,-85.848
